# E (eV)  pdos(E) 
  -24.093999863    0.001577115
  -24.073999405    0.003819759
  -24.054000854    0.008861546
  -24.034000397    0.019736886
  -24.013999939    0.042123266
  -23.993999481    0.086303674
  -23.974000931    0.169381320
  -23.954000473    0.319100052
  -23.934000015    0.576731324
  -23.913999557    0.999714196
  -23.893999100    1.664714098
  -23.874000549    2.656195641
  -23.854000092    4.069506645
  -23.833999634    5.987469673
  -23.813999176    8.454648972
  -23.794000626   11.456405640
  -23.774000168   14.905154228
  -23.753999710   18.648399353
  -23.733999252   22.379991531
  -23.714000702   25.817605972
  -23.694000244   28.590532303
  -23.673999786   30.419113159
  -23.653999329   31.108135223
  -23.634000778   30.546327591
  -23.614000320   28.860187531
  -23.593999863   26.184316635
  -23.573999405   22.811813354
  -23.554000854   19.129791260
  -23.534000397   15.413519859
  -23.513999939   11.931536674
  -23.493999481    8.881772041
  -23.474000931    6.349685669
  -23.454000473    4.363281250
  -23.434000015    2.883376598
  -23.413999557    1.829680562
  -23.393999100    1.115235209
  -23.374000549    0.652885497
  -23.354000092    0.367305130
  -23.333999634    0.198306426
  -23.313999176    0.102918483
  -23.294000626    0.051276255
  -23.274000168    0.024511274
  -23.253999710    0.011244049
  -23.233999252    0.004953397
  -23.214000702    0.002095373
  -23.194000244    0.000849653
  -23.173999786    0.000330450
  -23.153999329    0.000123367
  -23.134000778    0.000044204
  -23.114000320    0.000015306
  -23.093999863    0.000005468
  -23.073999405    0.000003120
  -23.054000854    0.000005269
  -23.034000397    0.000014403
  -23.013999939    0.000040678
  -22.993999481    0.000110848
  -22.974000931    0.000289373
  -22.954000473    0.000724011
  -22.934000015    0.001735140
  -22.913999557    0.003979391
  -22.893999100    0.008750530
  -22.874000549    0.018404020
  -22.854000092    0.037113927
  -22.833999634    0.071648546
  -22.813999176    0.132590026
  -22.794000626    0.234605685
  -22.774000168    0.397743523
  -22.753999710    0.646277964
  -22.733999252    1.005112767
  -22.714000702    1.496707797
  -22.694000244    2.136543512
  -22.673999786    2.918335199
  -22.653999329    3.818756580
  -22.634000778    4.785709381
  -22.614000320    5.746490479
  -22.593999863    6.604053497
  -22.573999405    7.267303944
  -22.554000854    7.662666321
  -22.534000397    7.737062931
  -22.513999939    7.484549999
  -22.493999481    6.930489063
  -22.474000931    6.148554802
  -22.454000473    5.229292870
  -22.434000015    4.263514042
  -22.413999557    3.334264994
  -22.393999100    2.515162468
  -22.374000549    1.843861818
  -22.354000092    1.336023092
  -22.333999634    0.995387673
  -22.313999176    0.807494640
  -22.294000626    0.756014526
  -22.274000168    0.823900342
  -22.253999710    0.996243000
  -22.233999252    1.262198567
  -22.214000702    1.615426660
  -22.194000244    2.052622557
  -22.173999786    2.576178551
  -22.153999329    3.193626404
  -22.134000778    3.909442186
  -22.114000320    4.733964920
  -22.093999863    5.671401501
  -22.073999405    6.715343952
  -22.054000854    7.842409611
  -22.034000397    9.001197815
  -22.013999939   10.131151199
  -21.993999481   11.149335861
  -21.974000931   11.965817451
  -21.954000473   12.492280960
  -21.934000015   12.665536880
  -21.913999557   12.458699226
  -21.893999100   11.884777069
  -21.874000549   10.985960960
  -21.854000092    9.853524208
  -21.833999634    8.585124969
  -21.813999176    7.275105476
  -21.794000626    6.019351959
  -21.774000168    4.885592937
  -21.753999710    3.919414520
  -21.733999252    3.143455982
  -21.714000702    2.566070557
  -21.694000244    2.176872730
  -21.673999786    1.961504936
  -21.653999329    1.900855660
  -21.634000778    1.973253846
  -21.614000320    2.157763958
  -21.593999863    2.429945946
  -21.573999405    2.768002748
  -21.554000854    3.149429560
  -21.534000397    3.550310850
  -21.513999939    3.953301907
  -21.493999481    4.343126297
  -21.474000931    4.704091549
  -21.454000473    5.024308681
  -21.434000015    5.294503212
  -21.413999557    5.505272388
  -21.393999100    5.641877651
  -21.374000549    5.693708420
  -21.354000092    5.648690701
  -21.333999634    5.502191544
  -21.313999176    5.266432285
  -21.294000626    4.931489944
  -21.274000168    4.528938770
  -21.253999710    4.075958729
  -21.233999252    3.599942684
  -21.214000702    3.127431631
  -21.194000244    2.680903196
  -21.173999786    2.274528503
  -21.153999329    1.918487191
  -21.134000778    1.617968440
  -21.114000320    1.369179964
  -21.093999863    1.166911244
  -21.073999405    1.004465938
  -21.054000854    0.875233054
  -21.034000397    0.773689985
  -21.013999939    0.694591045
  -20.993999481    0.634061217
  -20.974000931    0.588726163
  -20.954000473    0.556258857
  -20.934000015    0.533684790
  -20.913999557    0.519159138
  -20.893999100    0.511228144
  -20.874000549    0.508938134
  -20.854000092    0.511765003
  -20.833999634    0.520563006
  -20.813999176    0.537241042
  -20.794000626    0.564989984
  -20.774000168    0.608392894
  -20.753999710    0.675168037
  -20.733999252    0.774806857
  -20.714000702    0.919633925
  -20.694000244    1.127783775
  -20.673999786    1.417147160
  -20.653999329    1.807953477
  -20.634000778    2.321097851
  -20.614000320    2.973034143
  -20.593999863    3.772393703
  -20.573999405    4.720703602
  -20.554000854    5.805033684
  -20.534000397    7.003043652
  -20.513999939    8.280880928
  -20.493999481    9.602803230
  -20.474000931   10.932731628
  -20.454000473   12.216277122
  -20.434000015   13.419144630
  -20.413999557   14.491323471
  -20.393999100   15.382070541
  -20.374000549   16.036529541
  -20.354000092   16.397867203
  -20.333999634   16.420894623
  -20.313999176   16.058528900
  -20.294000626   15.325963020
  -20.274000168   14.260843277
  -20.253999710   12.943334579
  -20.233999252   11.483688354
  -20.214000702   10.012825012
  -20.194000244    8.667521477
  -20.173999786    7.558061123
  -20.153999329    6.766003609
  -20.134000778    6.328296185
  -20.114000320    6.235045433
  -20.093999863    6.431848526
  -20.073999405    6.831820011
  -20.054000854    7.312455177
  -20.034000397    7.755163670
  -20.013999939    8.043083191
  -19.993999481    8.103364944
  -19.974000931    7.883072853
  -19.954000473    7.388955593
  -19.934000015    6.657998085
  -19.913999557    5.765593529
  -19.893999100    4.798662663
  -19.874000549    3.835926056
  -19.854000092    2.948539019
  -19.833999634    2.180536270
  -19.813999176    1.556566954
  -19.794000626    1.076265097
  -19.774000168    0.725370944
  -19.753999710    0.481414080
  -19.733999252    0.319980711
  -19.714000702    0.217870280
  -19.694000244    0.156066924
  -19.673999786    0.120145008
  -19.653999329    0.099866800
  -19.634000778    0.088694125
  -19.614000320    0.082414180
  -19.593999863    0.078672677
  -19.573999405    0.076209299
  -19.554000854    0.074251093
  -19.534000397    0.072341800
  -19.513999939    0.070332497
  -19.493999481    0.068029225
  -19.474000931    0.065407693
  -19.454000473    0.062392008
  -19.434000015    0.059044309
  -19.413999557    0.055504203
  -19.393999100    0.051875610
  -19.374000549    0.048342794
  -19.354000092    0.045093197
  -19.333999634    0.042270806
  -19.313999176    0.040006913
  -19.294000626    0.038368292
  -19.274000168    0.037386503
  -19.253999710    0.037029002
  -19.233999252    0.037249491
  -19.214000702    0.037938595
  -19.194000244    0.038974095
  -19.173999786    0.040217705
  -19.153999329    0.041521002
  -19.134000778    0.042749401
  -19.114000320    0.043764908
  -19.093999863    0.044476703
  -19.073999405    0.044804897
  -19.054000854    0.044735890
  -19.034000397    0.044281397
  -19.013999939    0.043499403
  -18.993999481    0.042479303
  -18.974000931    0.041336790
  -18.954000473    0.040187400
  -18.934000015    0.039165992
  -18.913999557    0.038388196
  -18.893999100    0.037952799
  -18.874000549    0.037929695
  -18.854000092    0.038347099
  -18.833999634    0.039212409
  -18.813999176    0.040467303
  -18.794000626    0.042062785
  -18.774000168    0.043857988
  -18.753999710    0.045791108
  -18.733999252    0.047720898
  -18.714000702    0.049547400
  -18.694000244    0.051249094
  -18.673999786    0.052777488
  -18.653999329    0.054219794
  -18.634000778    0.055656802
  -18.614000320    0.057274200
  -18.593999863    0.059356708
  -18.573999405    0.062228803
  -18.554000854    0.066355996
  -18.534000397    0.072372124
  -18.513999939    0.081291072
  -18.493999481    0.094687313
  -18.474000931    0.114858016
  -18.454000473    0.145833164
  -18.434000015    0.193680003
  -18.413999557    0.267495424
  -18.393999100    0.380198419
  -18.374000549    0.548157215
  -18.354000092    0.793008983
  -18.333999634    1.136088252
  -18.313999176    1.597030759
  -18.294000626    2.190169573
  -18.274000168    2.911612272
  -18.253999710    3.745039463
  -18.233999252    4.646798611
  -18.214000702    5.553931713
  -18.194000244    6.382238865
  -18.173999786    7.056107521
  -18.153999329    7.490996838
  -18.134000778    7.644343376
  -18.114000320    7.496642590
  -18.093999863    7.076929569
  -18.073999405    6.426205635
  -18.054000854    5.644719601
  -18.034000397    4.819036484
  -18.013999939    4.054710388
  -17.993999481    3.434085846
  -17.974000931    3.025420904
  -17.954000473    2.876734972
  -17.934000015    3.003063440
  -17.913999557    3.398050785
  -17.893999100    4.025000572
  -17.874000549    4.822595119
  -17.854000092    5.702067375
  -17.833999634    6.562694550
  -17.813999176    7.292208195
  -17.794000626    7.805748940
  -17.774000168    8.018564224
  -17.753999710    7.912554741
  -17.733999252    7.498828888
  -17.714000702    6.837300777
  -17.694000244    6.018417835
  -17.673999786    5.150299549
  -17.653999329    4.350507736
  -17.634000778    3.719615221
  -17.614000320    3.349419117
