VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	VAR16	VAR17	VAR18	VAR19	VAR20	VAR21	VAR22	VAR23	VAR24
0.0000000000000000	-8.373939178000000e-1	0.0000000000000000	-2.460112608000000e-1	0.0000000000000000	-2.324888160000000e-1	0.0000000000000000	-1.938378545000000e-1	0.0000000000000000	-1.787971210000000e-2	0.0000000000000000	-5.843711400000006e-3	0.0000000000000000	3.090266709999999e-2	0.0000000000000000	5.436838059999999e-2	0.0000000000000000	2.753399879000000e-1	0.0000000000000000	3.034306314000000e-1	0.0000000000000000	5.789829328000000e-1	0.0000000000000000	7.264892407000000e-1
9.999999139997195e-1	-8.378473180000000e-1	9.999999139997195e-1	-2.469949023000000e-1	9.999999139997195e-1	-2.386519898000000e-1	9.999999139997195e-1	-1.917932134000000e-1	9.999999139997195e-1	-1.879207420000001e-2	9.999999139997195e-1	-4.864565000000015e-3	9.999999139997195e-1	3.173875149999998e-2	9.999999139997195e-1	5.318207629999999e-2	9.999999139997195e-1	2.793775764000000e-1	9.999999139997195e-1	3.004968846000000e-1	9.999999139997195e-1	5.858045342000000e-1	9.999999139997195e-1	7.244997000000000e-1
1.999999827999439e+0	-8.386807331000000e-1	1.999999827999439e+0	-2.499139911000000e-1	1.999999827999439e+0	-2.448977460000000e-1	1.999999827999439e+0	-1.910864881000000e-1	1.999999827999439e+0	-1.890352370000001e-2	1.999999827999439e+0	-4.759531700000014e-3	1.999999827999439e+0	3.316828319999998e-2	1.999999827999439e+0	5.062715529999999e-2	1.999999827999439e+0	2.836516851000000e-1	1.999999827999439e+0	2.970625118000000e-1	1.999999827999439e+0	5.974038579000001e-1	1.999999827999439e+0	7.176636772000000e-1
2.999999741999158e+0	-8.398362330000000e-1	2.999999741999158e+0	-2.544525103000000e-1	2.999999741999158e+0	-2.499578536000000e-1	2.999999741999158e+0	-1.912640061000000e-1	2.999999741999158e+0	-1.866826600000002e-2	2.999999741999158e+0	-5.018413100000008e-3	2.999999741999158e+0	3.533240879999999e-2	2.999999741999158e+0	4.728243399999998e-2	2.999999741999158e+0	2.876652200000000e-1	2.999999741999158e+0	2.935235058000000e-1	2.999999741999158e+0	6.134755533000000e-1	2.999999741999158e+0	7.064065465000000e-1
3.999999655998878e+0	-8.414731050000000e-1	3.999999655998878e+0	-2.600945310000000e-1	3.999999655998878e+0	-2.533798104000000e-1	3.999999655998878e+0	-1.921750786000000e-1	3.999999655998878e+0	-1.935750080000001e-2	3.999999655998878e+0	-4.862004500000017e-3	3.999999655998878e+0	3.733941839999999e-2	3.999999655998878e+0	4.416617889999999e-2	3.999999655998878e+0	2.877231038000000e-1	3.999999655998878e+0	2.931158075000000e-1	3.999999655998878e+0	6.325858165000000e-1	3.999999655998878e+0	6.918537134000000e-1
4.999999570001016e+0	-8.436915907000000e-1	4.999999570001016e+0	-2.658922745000000e-1	4.999999570001016e+0	-2.555249380000000e-1	4.999999570001016e+0	-1.937633535000000e-1	4.999999570001016e+0	-2.168994740000002e-2	4.999999570001016e+0	-4.077532100000003e-3	4.999999570001016e+0	3.728524599999999e-2	4.999999570001016e+0	4.327412619999998e-2	4.999999570001016e+0	2.837070303000000e-1	4.999999570001016e+0	2.958972926000000e-1	4.999999570001016e+0	6.501374365000000e-1	4.999999570001016e+0	6.784002730999999e-1
5.999999484000735e+0	-8.461922441000000e-1	5.999999484000735e+0	-2.708121690000000e-1	5.999999484000735e+0	-2.565622376000000e-1	5.999999484000735e+0	-1.954653934000000e-1	5.999999484000735e+0	-2.499376660000002e-2	5.999999484000735e+0	-3.002943899999999e-3	5.999999484000735e+0	3.566492589999999e-2	5.999999484000735e+0	4.479284419999998e-2	5.999999484000735e+0	2.800492716000000e-1	5.999999484000735e+0	2.985077465000000e-1	5.999999484000735e+0	6.521032502000000e-1	5.999999484000735e+0	6.808306975000000e-1
6.999999398000455e+0	-8.490127239000000e-1	6.999999398000455e+0	-2.744245958000000e-1	6.999999398000455e+0	-2.569184437000000e-1	6.999999398000455e+0	-1.972941503000000e-1	6.999999398000455e+0	-2.852285460000001e-2	6.999999398000455e+0	-2.320367400000023e-3	6.999999398000455e+0	3.449205789999998e-2	6.999999398000455e+0	4.650861429999998e-2	6.999999398000455e+0	2.782306967000000e-1	6.999999398000455e+0	3.001377480000000e-1	6.999999398000455e+0	6.396308665000000e-1	6.999999398000455e+0	6.980276352000000e-1
7.999999312000174e+0	-8.525317932000000e-1	7.999999312000174e+0	-2.767381805000000e-1	7.999999312000174e+0	-2.572790034000000e-1	7.999999312000174e+0	-1.997250645000000e-1	7.999999312000174e+0	-3.189099550000002e-2	7.999999312000174e+0	-2.539797000000010e-3	7.999999312000174e+0	3.402428539999999e-2	7.999999312000174e+0	4.704873009999999e-2	7.999999312000174e+0	2.784390573000000e-1	7.999999312000174e+0	3.004681209000000e-1	7.999999312000174e+0	6.272339088000000e-1	7.999999312000174e+0	7.147233373999999e-1
8.999999225999893e+0	-8.563695732000000e-1	8.999999225999893e+0	-2.774963328000000e-1	8.999999225999893e+0	-2.579458661000000e-1	8.999999225999893e+0	-2.025650810000000e-1	8.999999225999893e+0	-3.438849250000001e-2	8.999999225999893e+0	-3.531781100000020e-3	8.999999225999893e+0	3.391174479999999e-2	8.999999225999893e+0	4.616268269999998e-2	8.999999225999893e+0	2.804676335000000e-1	8.999999225999893e+0	2.998537572000000e-1	8.999999225999893e+0	6.189819049000001e-1	8.999999225999893e+0	7.275233024000000e-1
9.999999139999614e+0	-8.598708199000000e-1	9.999999139999614e+0	-2.764895628000000e-1	9.999999139999614e+0	-2.591768465000000e-1	9.999999139999614e+0	-2.059945750000000e-1	9.999999139999614e+0	-3.528326620000002e-2	9.999999139999614e+0	-5.040436800000020e-3	9.999999139999614e+0	3.362098419999998e-2	9.999999139999614e+0	4.404656909999999e-2	9.999999139999614e+0	2.835517374000000e-1	9.999999139999614e+0	2.990767811000000e-1	9.999999139999614e+0	6.163155153999999e-1	9.999999139999614e+0	7.356278281000000e-1
