VAR1	VAR2	VAR3	VAR4	VAR5	VAR6
SLG			DLG		--
	0.0000000000000000	5.204330000000000e-1		0.0000000000000000	5.796249999999999e-1
	1.000000000000000e+0	5.025080000000001e-1		1.000000000000000e+0	5.526450000000001e-1
	2.000000000000000e+0	4.537170000000000e-1		2.000000000000000e+0	4.812670000000000e-1
	3.000000000000000e+0	3.868190000000000e-1		3.000000000000000e+0	3.911370000000000e-1
	4.000000000000000e+0	3.141270000000000e-1		4.000000000000000e+0	3.086630000000000e-1
	5.000000000000000e+0	2.442160000000000e-1		5.000000000000000e+0	2.523750000000000e-1
	6.000000000000000e+0	1.821420000000000e-1		6.000000000000000e+0	2.284080000000000e-1
	7.000000000000000e+0	1.303660000000000e-1		7.000000000000000e+0	2.301190000000000e-1
	8.000000000000000e+0	8.940260000000000e-2		8.000000000000000e+0	2.411810000000000e-1
	9.000000000000000e+0	5.780280000000000e-2		9.000000000000000e+0	2.420060000000000e-1
	1.000000000000000e+1	3.222310000000000e-2		1.000000000000000e+1	2.190100000000000e-1
	1.100000000000000e+1	8.700710000000000e-3		1.100000000000000e+1	1.722340000000000e-1
	1.200000000000000e+1	-1.502290000000000e-2		1.200000000000000e+1	1.152470000000000e-1
	1.300000000000000e+1	-3.764230000000000e-2		1.300000000000000e+1	6.773179999999999e-2
	1.400000000000000e+1	-5.511630000000000e-2		1.400000000000000e+1	4.607030000000000e-2
	1.500000000000000e+1	-6.351810000000001e-2		1.500000000000000e+1	5.671190000000000e-2
	1.600000000000000e+1	-6.152130000000000e-2		1.600000000000000e+1	9.403460000000000e-2
	1.700000000000000e+1	-5.074010000000000e-2		1.700000000000000e+1	1.423890000000000e-1
	1.800000000000000e+1	-3.426240000000000e-2		1.800000000000000e+1	1.818450000000000e-1
	1.900000000000000e+1	-1.523180000000000e-2		1.900000000000000e+1	1.962440000000000e-1
	2.000000000000000e+1	3.558800000000000e-3		2.000000000000000e+1	1.802820000000000e-1
	2.100000000000000e+1	1.973650000000000e-2		2.100000000000000e+1	1.420030000000000e-1
	2.200000000000000e+1	3.109940000000000e-2		2.200000000000000e+1	9.854560000000000e-2
	2.300000000000000e+1	3.593540000000000e-2		2.300000000000000e+1	6.749699999999998e-2
	2.400000000000000e+1	3.407500000000000e-2		2.400000000000000e+1	5.932650000000001e-2
	2.500000000000000e+1	2.710790000000000e-2		2.500000000000000e+1	7.397970000000000e-2
	2.600000000000000e+1	1.789160000000000e-2		2.600000000000000e+1	1.016990000000000e-1
	2.700000000000000e+1	9.282809999999998e-3		2.700000000000000e+1	1.273980000000000e-1
	2.800000000000000e+1	2.865650000000000e-3		2.800000000000000e+1	1.371880000000000e-1
	2.900000000000000e+1	-9.624709999999998e-4		2.900000000000000e+1	1.250300000000000e-1
	3.000000000000000e+1	-1.833100000000000e-3		3.000000000000000e+1	9.684150000000000e-2
	3.100000000000000e+1	1.095540000000000e-3		3.100000000000000e+1	6.774630000000001e-2
	3.200000000000000e+1	8.507650000000000e-3		3.200000000000000e+1	5.433480000000000e-2
	3.300000000000000e+1	2.047390000000000e-2		3.300000000000000e+1	6.754969999999999e-2
	3.400000000000000e+1	3.712260000000001e-2		3.400000000000000e+1	1.083750000000000e-1
	3.500000000000000e+1	5.887760000000000e-2		3.500000000000000e+1	1.674260000000000e-1
	3.600000000000000e+1	8.549240000000000e-2		3.600000000000000e+1	2.282330000000000e-1
	3.700000000000000e+1	1.155170000000000e-1		3.700000000000000e+1	2.731580000000000e-1
	3.800000000000000e+1	1.460480000000000e-1		3.800000000000000e+1	2.909970000000000e-1
	3.900000000000000e+1	1.731940000000000e-1		3.900000000000000e+1	2.826310000000000e-1
	4.000000000000000e+1	1.938230000000000e-1		4.000000000000000e+1	2.595320000000000e-1
	4.100000000000000e+1	2.068730000000000e-1		4.100000000000000e+1	2.372170000000000e-1
	4.200000000000000e+1	2.131420000000000e-1		4.200000000000000e+1	2.284060000000000e-1
	4.300000000000000e+1	2.139510000000000e-1		4.300000000000000e+1	2.380010000000000e-1
	4.400000000000000e+1	2.101230000000000e-1		4.400000000000000e+1	2.615110000000000e-1
	4.500000000000000e+1	2.022660000000000e-1		4.500000000000000e+1	2.872200000000000e-1
	4.600000000000000e+1	1.912910000000000e-1		4.600000000000000e+1	3.012130000000000e-1
	4.700000000000000e+1	1.785600000000000e-1		4.700000000000000e+1	2.928800000000000e-1
	4.800000000000000e+1	1.654720000000000e-1		4.800000000000000e+1	2.602230000000000e-1
	4.900000000000000e+1	1.525820000000000e-1		4.900000000000000e+1	2.119610000000000e-1
	5.000000000000000e+1	1.394630000000000e-1		5.000000000000000e+1	1.633590000000000e-1
	5.100000000000000e+1	1.255230000000000e-1		5.100000000000000e+1	1.289000000000000e-1
	5.200000000000000e+1	1.110160000000000e-1		5.200000000000000e+1	1.160290000000000e-1
	5.300000000000000e+1	9.750149999999998e-2		5.300000000000000e+1	1.225900000000000e-1
	5.400000000000000e+1	8.650630000000000e-2		5.400000000000000e+1	1.384590000000000e-1
	5.500000000000000e+1	7.785950000000000e-2		5.500000000000000e+1	1.502150000000000e-1
	5.600000000000000e+1	6.989420000000000e-2		5.600000000000000e+1	1.467290000000000e-1
	5.700000000000000e+1	6.078480000000000e-2		5.700000000000000e+1	1.239330000000000e-1
	5.800000000000000e+1	4.990420000000000e-2		5.800000000000000e+1	8.748189999999998e-2
	5.900000000000000e+1	3.803310000000000e-2		5.900000000000000e+1	5.035730000000000e-2
	6.000000000000000e+1	2.642480000000000e-2		6.000000000000000e+1	2.601190000000000e-2
	6.100000000000000e+1	1.547510000000000e-2		6.100000000000000e+1	2.203110000000000e-2
	6.200000000000000e+1	3.602510000000000e-3		6.200000000000000e+1	3.700329999999999e-2
	6.300000000000000e+1	-1.194030000000000e-2		6.300000000000000e+1	6.134960000000000e-2
	6.400000000000000e+1	-3.229910000000000e-2		6.400000000000000e+1	8.153500000000000e-2
	6.500000000000000e+1	-5.586430000000000e-2		6.500000000000000e+1	8.583760000000000e-2
	6.600000000000000e+1	-7.995250000000002e-2		6.600000000000000e+1	6.947050000000001e-2
	6.700000000000000e+1	-1.026340000000000e-1		6.700000000000000e+1	3.697780000000000e-2
	6.800000000000000e+1	-1.228660000000000e-1		6.800000000000000e+1	4.959259999999999e-4
	6.900000000000000e+1	-1.395280000000000e-1		6.900000000000000e+1	-2.584550000000000e-2
	7.000000000000000e+1	-1.508690000000000e-1		7.000000000000000e+1	-3.222240000000000e-2
	7.100000000000000e+1	-1.545510000000000e-1		7.100000000000000e+1	-1.709930000000000e-2
	7.200000000000000e+1	-1.486830000000000e-1		7.200000000000000e+1	1.211470000000000e-2
	7.300000000000000e+1	-1.332550000000000e-1		7.300000000000000e+1	4.238990000000000e-2
	7.400000000000000e+1	-1.098200000000000e-1		7.400000000000000e+1	6.142330000000001e-2
	7.500000000000000e+1	-8.011070000000000e-2		7.500000000000000e+1	6.326290000000000e-2
	7.600000000000000e+1	-4.532480000000000e-2		7.600000000000000e+1	5.083080000000000e-2
	7.700000000000000e+1	-6.312170000000000e-3		7.700000000000000e+1	3.454150000000000e-2
	7.800000000000000e+1	3.539900000000000e-2		7.800000000000000e+1	2.726760000000000e-2
	7.900000000000000e+1	7.695620000000000e-2		7.900000000000000e+1	3.843029999999999e-2
	8.000000000000000e+1	1.149730000000000e-1		8.000000000000000e+1	6.980710000000000e-2
	8.100000000000000e+1	1.469400000000000e-1		8.100000000000000e+1	1.145280000000000e-1
	8.200000000000000e+1	1.719830000000000e-1		8.200000000000000e+1	1.594960000000000e-1
	8.300000000000000e+1	1.902630000000000e-1		8.300000000000000e+1	1.907520000000000e-1
	8.400000000000000e+1	2.017540000000000e-1		8.400000000000000e+1	1.998440000000000e-1
	8.500000000000000e+1	2.060210000000000e-1		8.500000000000000e+1	1.876240000000000e-1
	8.600000000000000e+1	2.027940000000000e-1		8.600000000000000e+1	1.633880000000000e-1
	8.700000000000000e+1	1.926190000000000e-1		8.700000000000000e+1	1.403950000000000e-1
	8.800000000000000e+1	1.769230000000000e-1		8.800000000000000e+1	1.300710000000000e-1
	8.900000000000000e+1	1.572490000000000e-1		8.900000000000000e+1	1.369930000000000e-1
	9.000000000000000e+1	1.346130000000000e-1		9.000000000000000e+1	1.565940000000000e-1
	9.100000000000000e+1	1.096060000000000e-1		9.100000000000000e+1	1.767710000000000e-1
	9.200000000000000e+1	8.338940000000000e-2		9.200000000000000e+1	1.832250000000000e-1
	9.300000000000000e+1	5.862560000000000e-2		9.300000000000000e+1	1.666660000000000e-1
	9.400000000000000e+1	3.856430000000000e-2		9.400000000000000e+1	1.281810000000000e-1
	9.500000000000000e+1	2.507330000000000e-2		9.500000000000000e+1	7.914879999999998e-2
	9.600000000000000e+1	1.836600000000000e-2		9.600000000000000e+1	3.588000000000000e-2
