VAR1	VAR2	VAR3	VAR4	VAR5	VAR6
SLG	0.0000000000000000	3.325850000000000e+0	DLG	0.0000000000000000	8.837760000000000e+2
	2.016390000000000e+1	6.462350000000000e-1		2.016390000000000e+1	2.294300000000000e+3
	4.032770000000000e+1	1.458560000000000e+1		4.032770000000000e+1	6.204480000000000e+2
	6.049160000000000e+1	5.271550000000000e+2		6.049160000000000e+1	1.896910000000000e+1
	8.065540000000000e+1	9.623950000000000e+2		8.065540000000000e+1	1.646060000000000e+3
	1.008190000000000e+2	1.797210000000000e+2		1.008190000000000e+2	4.116010000000000e+2
	1.209830000000000e+2	3.542680000000000e+1		1.209830000000000e+2	2.023400000000000e+0
	1.411470000000000e+2	8.729780000000000e+0		1.411470000000000e+2	2.370110000000000e+2
	1.613110000000000e+2	4.660110000000001e+0		1.613110000000000e+2	1.216580000000000e+1
	1.814750000000000e+2	3.517770000000000e-1		1.814750000000000e+2	6.693270000000000e+0
	2.016390000000000e+2	1.560270000000000e+0		2.016390000000000e+2	8.855630000000000e+1
	2.218020000000000e+2	1.515620000000000e+1		2.218020000000000e+2	9.361660000000000e+1
	2.419660000000000e+2	9.691440000000000e+0		2.419660000000000e+2	1.622230000000000e+2
	2.621300000000000e+2	2.046260000000000e+0		2.621300000000000e+2	5.304520000000000e+0
	2.822940000000000e+2	2.556470000000000e+1		2.822940000000000e+2	4.918330000000000e-3
	3.024580000000000e+2	1.094640000000000e+0		3.024580000000000e+2	1.039920000000000e+2
	3.226220000000000e+2	2.760170000000000e+0		3.226220000000000e+2	6.509690000000000e-1
	3.427860000000000e+2	1.327210000000000e+1		3.427860000000000e+2	1.463130000000000e+1
	3.629500000000000e+2	6.450439999999999e-1		3.629500000000000e+2	1.602850000000000e+1
	3.831130000000000e+2	3.000990000000000e+0		3.831130000000000e+2	1.439100000000000e+1
	4.032770000000000e+2	5.301280000000000e+0		4.032770000000000e+2	8.006890000000000e+0
	4.234410000000000e+2	3.741680000000000e+0		4.234410000000000e+2	2.187040000000000e+0
	4.436050000000000e+2	7.016370000000000e+0		4.436050000000000e+2	6.155770000000001e-1
	4.637690000000000e+2	3.078160000000000e-1		4.637690000000000e+2	6.668590000000000e+0
	4.839330000000000e+2	1.941920000000000e+0		4.839330000000000e+2	2.135910000000000e+0
	5.040970000000000e+2	7.918750000000000e-1		5.040970000000000e+2	1.094110000000000e+0
	5.242600000000000e+2	3.231020000000000e-2		5.242600000000000e+2	2.026400000000000e+0
	5.444240000000000e+2	2.460610000000000e+0		5.444240000000000e+2	1.468160000000000e+0
	5.645880000000000e+2	2.169120000000000e-1		5.645880000000000e+2	4.132930000000000e+0
	5.847519999999999e+2	3.075370000000000e+0		5.847519999999999e+2	6.315110000000000e-2
	6.049160000000001e+2	5.376040000000000e-1		6.049160000000001e+2	4.632010000000000e+0
	6.250800000000001e+2	2.840870000000000e-2		6.250800000000001e+2	5.053940000000000e-3
	6.452440000000000e+2	8.223300000000000e+0		6.452440000000000e+2	2.313320000000000e+0
	6.654070000000000e+2	6.653430000000000e-1		6.654070000000000e+2	5.543370000000000e+0
	6.855710000000000e+2	5.011410000000000e+0		6.855710000000000e+2	2.230980000000000e+0
	7.057350000000000e+2	4.130000000000000e-2		7.057350000000000e+2	6.637480000000000e-1
	7.258990000000000e+2	5.024850000000000e+0		7.258990000000000e+2	3.140210000000000e+0
	7.460630000000000e+2	2.893650000000000e+0		7.460630000000000e+2	7.403350000000000e-1
	7.662270000000000e+2	1.059640000000000e-1		7.662270000000000e+2	4.335840000000000e+0
