# E (eV)  pdos(E) 
  -24.093999863    0.000016116
  -24.073999405    0.000038983
  -24.054000854    0.000090490
  -24.034000397    0.000201287
  -24.013999939    0.000429489
  -23.993999481    0.000879384
  -23.974000931    0.001725985
  -23.954000473    0.003250577
  -23.934000015    0.005874043
  -23.913999557    0.010188063
  -23.893999100    0.016947242
  -23.874000549    0.027064092
  -23.854000092    0.041486412
  -23.833999634    0.061046924
  -23.813999176    0.086234681
  -23.794000626    0.116977200
  -23.774000168    0.152363718
  -23.753999710    0.190551251
  -23.733999252    0.228993952
  -23.714000702    0.264313996
  -23.694000244    0.293149620
  -23.673999786    0.312289149
  -23.653999329    0.319795251
  -23.634000778    0.314597785
  -23.614000320    0.297472566
  -23.593999863    0.270386577
  -23.573999405    0.236193642
  -23.554000854    0.198278040
  -23.534000397    0.159914419
  -23.513999939    0.124046251
  -23.493999481    0.092468798
  -23.474000931    0.066191576
  -23.454000473    0.045571819
  -23.434000015    0.030148450
  -23.413999557    0.019148374
  -23.393999100    0.011689832
  -23.374000549    0.006854256
  -23.354000092    0.003861194
  -23.333999634    0.002088052
  -23.313999176    0.001084120
  -23.294000626    0.000540592
  -23.274000168    0.000258631
  -23.253999710    0.000118787
  -23.233999252    0.000052378
  -23.214000702    0.000022159
  -23.194000244    0.000008993
  -23.173999786    0.000003501
  -23.153999329    0.000001308
  -23.134000778    0.000000470
  -23.114000320    0.000000168
  -23.093999863    0.000000079
  -23.073999405    0.000000100
  -23.054000854    0.000000263
  -23.034000397    0.000000769
  -23.013999939    0.000002186
  -22.993999481    0.000005962
  -22.974000931    0.000015565
  -22.954000473    0.000038926
  -22.934000015    0.000093226
  -22.913999557    0.000213910
  -22.893999100    0.000469766
  -22.874000549    0.000988434
  -22.854000092    0.001991890
  -22.833999634    0.003843748
  -22.813999176    0.007104908
  -22.794000626    0.012572655
  -22.774000168    0.021323670
  -22.753999710    0.034629364
  -22.733999252    0.053811230
  -22.714000702    0.080139346
  -22.694000244    0.114324473
  -22.673999786    0.156137511
  -22.653999329    0.204253241
  -22.634000778    0.255885452
  -22.614000320    0.307308018
  -22.593999863    0.353355050
