#  E (eV)   dos(E)     Int dos(E)
-50.000  0.2640E-83  0.5280E-85
-49.980  0.2640E-83  0.1056E-84
-49.960  0.2640E-83  0.1584E-84
-49.940  0.2640E-83  0.2112E-84
-49.920  0.2640E-83  0.2640E-84
-49.900  0.2640E-83  0.3168E-84
-49.880  0.2640E-83  0.3696E-84
-49.860  0.2640E-83  0.4224E-84
-49.840  0.2640E-83  0.4752E-84
-49.820  0.2640E-83  0.5280E-84
-49.800  0.2640E-83  0.5807E-84
-49.780  0.2640E-83  0.6335E-84
-49.760  0.2640E-83  0.6863E-84
-49.740  0.2640E-83  0.7391E-84
-49.720  0.2640E-83  0.7919E-84
-49.700  0.2640E-83  0.8447E-84
-49.680  0.2640E-83  0.8975E-84
-49.660  0.2640E-83  0.9503E-84
-49.640  0.2640E-83  0.1003E-83
-49.620  0.2640E-83  0.1056E-83
-49.600  0.2640E-83  0.1109E-83
-49.580  0.2640E-83  0.1161E-83
-49.560  0.2640E-83  0.1214E-83
-49.540  0.2640E-83  0.1267E-83
-49.520  0.2640E-83  0.1320E-83
-49.500  0.2640E-83  0.1373E-83
-49.480  0.2640E-83  0.1425E-83
-49.460  0.2640E-83  0.1478E-83
-49.440  0.2640E-83  0.1531E-83
-49.420  0.2640E-83  0.1584E-83
-49.400  0.2640E-83  0.1637E-83
-49.380  0.2640E-83  0.1689E-83
-49.360  0.2640E-83  0.1742E-83
-49.340  0.2640E-83  0.1795E-83
-49.320  0.2640E-83  0.1848E-83
-49.300  0.2640E-83  0.1901E-83
-49.280  0.2640E-83  0.1953E-83
-49.260  0.2640E-83  0.2006E-83
-49.240  0.2640E-83  0.2059E-83
-49.220  0.2640E-83  0.2112E-83
-49.200  0.2640E-83  0.2165E-83
-49.180  0.2640E-83  0.2217E-83
-49.160  0.2640E-83  0.2270E-83
-49.140  0.2640E-83  0.2323E-83
-49.120  0.2640E-83  0.2376E-83
-49.100  0.2640E-83  0.2429E-83
-49.080  0.2640E-83  0.2481E-83
-49.060  0.2640E-83  0.2534E-83
-49.040  0.2640E-83  0.2587E-83
-49.020  0.2640E-83  0.2640E-83
-49.000  0.2640E-83  0.2693E-83
-48.980  0.2640E-83  0.2745E-83
-48.960  0.2640E-83  0.2798E-83
-48.940  0.2640E-83  0.2851E-83
-48.920  0.2640E-83  0.2904E-83
-48.900  0.2640E-83  0.2957E-83
-48.880  0.2640E-83  0.3009E-83
-48.860  0.2640E-83  0.3062E-83
-48.840  0.2640E-83  0.3115E-83
-48.820  0.2640E-83  0.3168E-83
-48.800  0.2640E-83  0.3221E-83
-48.780  0.2640E-83  0.3273E-83
-48.760  0.2640E-83  0.3326E-83
-48.740  0.2640E-83  0.3379E-83
-48.720  0.2640E-83  0.3432E-83
-48.700  0.2640E-83  0.3484E-83
-48.680  0.2640E-83  0.3537E-83
-48.660  0.2640E-83  0.3590E-83
-48.640  0.2640E-83  0.3643E-83
-48.620  0.2640E-83  0.3696E-83
