# E (eV)  pdos(E) 
  -25.431999207    0.000021369
  -25.412000656    0.000051259
  -25.392000198    0.000117900
  -25.371999741    0.000259926
  -25.351999283    0.000549173
  -25.332000732    0.001111367
  -25.312000275    0.002157011
  -25.291999817    0.004010399
  -25.271999359    0.007154594
  -25.252000809    0.012225046
  -25.232000351    0.020030871
  -25.211999893    0.031468477
  -25.191999435    0.047405034
  -25.172000885    0.068458155
  -25.152000427    0.094804652
  -25.131999969    0.125936776
  -25.111999512    0.160370156
  -25.091999054    0.196042404
  -25.072000504    0.229710877
  -25.052000046    0.258259535
  -25.031999588    0.278643072
  -25.011999130    0.288270593
  -24.992000580    0.286226690
  -24.972000122    0.272713661
  -24.951999664    0.249320894
  -24.931999207    0.218770623
  -24.912000656    0.184208363
  -24.892000198    0.148817003
  -24.871999741    0.115473405
  -24.851999283    0.085912302
  -24.832000732    0.061401606
  -24.812000275    0.042100031
  -24.791999817    0.027730027
  -24.771999359    0.017514750
  -24.752000809    0.010619131
  -24.732000351    0.006180459
  -24.711999893    0.003454162
  -24.691999435    0.001851589
  -24.672000885    0.000952242
  -24.652000427    0.000470137
  -24.631999969    0.000222798
  -24.611999512    0.000101277
  -24.591999054    0.000044182
  -24.572000504    0.000018478
  -24.552000046    0.000007420
  -24.531999588    0.000002857
  -24.511999130    0.000001055
  -24.492000580    0.000000374
  -24.472000122    0.000000128
  -24.451999664    0.000000046
  -24.431999207    0.000000027
  -24.412000656    0.000000051
  -24.392000198    0.000000147
  -24.371999741    0.000000434
  -24.351999283    0.000001239
  -24.332000732    0.000003387
  -24.312000275    0.000008864
  -24.291999817    0.000022231
  -24.271999359    0.000053377
  -24.252000809    0.000122828
  -24.232000351    0.000270412
  -24.211999893    0.000570099
  -24.191999435    0.001152484
  -24.172000885    0.002229792
  -24.152000427    0.004130598
  -24.131999969    0.007330986
  -24.111999512    0.012460970
  -24.091999054    0.020283328
  -24.072000504    0.031621926
  -24.052000046    0.047186010
  -24.031999588    0.067477413
  -24.011999130    0.092393011
  -23.992000580    0.121151671
  -23.972000122    0.152200669
  -23.951999664    0.183044031
  -23.931999207    0.210795060
  -23.912000656    0.232574880
  -23.892000198    0.245823383
  -23.871999741    0.248649001
  -23.851999283    0.240960822
  -23.832000732    0.223614812
  -23.812000275    0.198760226
  -23.791999817    0.169168636
  -23.771999359    0.137987092
  -23.752000809    0.107769847
  -23.732000351    0.080727287
  -23.711999893    0.058194418
  -23.691999435    0.040767681
  -23.672000885    0.028614424
  -23.652000427    0.021890651
  -23.631999969    0.021033600
  -23.611999512    0.027269604
  -23.591999054    0.043057777
  -23.572000504    0.072360590
  -23.552000046    0.120823286
  -23.531999588    0.195698023
  -23.511999130    0.304873914
  -23.492000580    0.456170887
  -23.472000122    0.655860960
  -23.451999664    0.907258928
  -23.431999207    1.210457802
  -23.412000656    1.564069629
  -23.392000198    1.968279839
  -23.371999741    2.432449341
  -23.351999283    2.983318806
  -23.332000732    3.672789335
  -23.312000275    4.587302685
  -23.291999817    5.843796253
  -23.271999359    7.583396912
  -23.252000809    9.951800346
  -23.232000351   13.072900772
  -23.211999893   17.014701843
  -23.191999435   21.749101639
  -23.172000885   27.152406693
  -23.152000427   32.993999481
  -23.131999969   38.943981171
  -23.111999512   44.625976562
  -23.091999054   49.649990082
  -23.072000504   53.702007294
  -23.052000046   56.550998688
  -23.031999588   58.113014221
  -23.011999130   58.445976257
  -22.992000580   57.672012329
  -22.972000122   56.034011841
  -22.951999664   53.792995453
  -22.931999207   51.222000122
  -22.912000656   48.537998199
  -22.892000198   45.931995392
  -22.871999741   43.506984711
  -22.851999283   41.341007233
  -22.832000732   39.438007355
  -22.812000275   37.795005798
  -22.791999817   36.392993927
  -22.771999359   35.174003601
  -22.752000809   34.102001190
  -22.732000351   33.130992889
  -22.711999893   32.258995056
  -22.691999435   31.428995132
  -22.672000885   30.642004013
  -22.652000427   29.891012192
  -22.631999969   29.194990158
  -22.611999512   28.550195694
  -22.591999054   27.996606827
  -22.572000504   27.537698746
  -22.552000046   27.175899506
  -22.531999588   26.905996323
  -22.511999130   26.695407867
  -22.492000580   26.490098953
  -22.472000122   26.271595001
  -22.451999664   25.977899551
  -22.431999207   25.580204010
  -22.412000656   25.092309952
  -22.392000198   24.523807526
  -22.371999741   23.894906998
  -22.351999283   23.284597397
  -22.332000732   22.738302231
  -22.312000275   22.315395355
  -22.291999817   22.032403946
  -22.271999359   21.930194855
  -22.252000809   21.960290909
  -22.232000351   22.100900650
  -22.211999893   22.274000168
  -22.191999435   22.417795181
  -22.172000885   22.470603943
  -22.152000427   22.393310547
  -22.131999969   22.176990509
  -22.111999512   21.828403473
  -22.091999054   21.409696579
  -22.072000504   20.966405869
  -22.052000046   20.558101654
  -22.031999588   20.234504700
  -22.011999130   20.006294250
  -21.992000580   19.882795334
  -21.972000122   19.835596085
  -21.951999664   19.834798813
  -21.931999207   19.826297760
  -21.912000656   19.798192978
  -21.892000198   19.706298828
  -21.871999741   19.560995102
  -21.851999283   19.362096786
  -21.832000732   19.121601105
  -21.812000275   18.894096375
  -21.791999817   18.687305450
  -21.771999359   18.542097092
  -21.752000809   18.477605820
  -21.732000351   18.513505936
  -21.711999893   18.639902115
  -21.691999435   18.846395493
  -21.672000885   19.091402054
  -21.652000427   19.338396072
  -21.631999969   19.537406921
  -21.611999512   19.651203156
  -21.591999054   19.643096924
  -21.572000504   19.497203827
  -21.552000046   19.223600388
  -21.531999588   18.825506210
  -21.511999130   18.328496933
  -21.492000580   17.770401001
  -21.472000122   17.166097641
  -21.451999664   16.555294037
  -21.431999207   15.955997467
  -21.412000656   15.391000748
  -21.392000198   14.885797501
  -21.371999741   14.457801819
  -21.351999283   14.126199722
  -21.332000732   13.902793884
  -21.312000275   13.785896301
  -21.291999817   13.766999245
  -21.271999359   13.820597649
  -21.252000809   13.913898468
  -21.232000351   14.013404846
  -21.211999893   14.087603569
  -21.191999435   14.113301277
  -21.172000885   14.082499504
  -21.152000427   14.002000809
  -21.131999969   13.891998291
  -21.111999512   13.775496483
  -21.091999054   13.675802231
  -21.072000504   13.606598854
  -21.052000046   13.565105438
  -21.031999588   13.535904884
  -21.011999130   13.493797302
  -20.992000580   13.405804634
  -20.972000122   13.249904633
  -20.951999664   13.013998032
  -20.931999207   12.701800346
  -20.912000656   12.336294174
  -20.892000198   11.952899933
  -20.871999741   11.591697693
  -20.851999283   11.294103622
  -20.832000732   11.095497131
  -20.812000275   11.021094322
  -20.791999817   11.087997437
  -20.771999359   11.301401138
  -20.752000809   11.656001091
  -20.732000351   12.138300896
  -20.711999893   12.722805977
  -20.691999435   13.368400574
  -20.672000885   14.028502464
  -20.652000427   14.643199921
  -20.631999969   15.149000168
  -20.611999512   15.489897728
  -20.591999054   15.623498917
  -20.572000504   15.528100014
  -20.552000046   15.212799072
  -20.531999588   14.703497887
  -20.511999130   14.053199768
  -20.492000580   13.332704544
  -20.472000122   12.611006737
  -20.451999664   11.956998825
  -20.431999207   11.426296234
  -20.412000656   11.058402061
  -20.392000198   10.869199753
  -20.371999741   10.856601715
  -20.351999283   11.003500938
  -20.332000732   11.277699471
  -20.312000275   11.642498016
  -20.291999817   12.061099052
  -20.271999359   12.501097679
  -20.252000809   12.937602997
  -20.232000351   13.351000786
  -20.211999893   13.723504066
  -20.191999435   14.041800499
  -20.172000885   14.291495323
  -20.152000427   14.459399223
  -20.131999969   14.532701492
  -20.111999512   14.508404732
  -20.091999054   14.392700195
  -20.072000504   14.202995300
  -20.052000046   13.972702980
  -20.031999588   13.747603416
  -20.011999130   13.571402550
  -19.992000580   13.488198280
  -19.972000122   13.523799896
  -19.951999664   13.685005188
  -19.931999207   13.952899933
  -19.912000656   14.289599419
  -19.892000198   14.641206741
  -19.871999741   14.930096626
  -19.851999283   15.134001732
  -19.832000732   15.200207710
  -19.812000275   15.119505882
  -19.791999817   14.919000626
  -19.771999359   14.625992775
  -19.752000809   14.290092468
  -19.732000351   13.977896690
  -19.711999893   13.743297577
  -19.691999435   13.634507179
  -19.672000885   13.687596321
  -19.652000427   13.920496941
  -19.631999969   14.327303886
  -19.611999512   14.889498711
  -19.591999054   15.572890282
  -19.572000504   16.316198349
  -19.552000046   17.048397064
  -19.531999588   17.698703766
  -19.511999130   18.211997986
  -19.492000580   18.526901245
  -19.472000122   18.618097305
  -19.451999664   18.485399246
  -19.431999207   18.146196365
  -19.412000656   17.629096985
  -19.392000198   17.005407333
  -19.371999741   16.318899155
  -19.351999283   15.632994652
  -19.332000732   14.982499123
  -19.312000275   14.397396088
  -19.291999817   13.871899605
  -19.271999359   13.403491974
  -19.252000809   12.964402199
  -19.232000351   12.529699326
  -19.211999893   12.070898056
  -19.191999435   11.572898865
  -19.172000885   11.032999039
  -19.152000427   10.464103699
  -19.131999969    9.885303497
  -19.111999512    9.320402145
  -19.091999054    8.798000336
  -19.072000504    8.340999603
  -19.052000046    7.970501423
  -19.031999588    7.703899860
  -19.011999130    7.557101250
  -18.992000580    7.542099953
  -18.972000122    7.665801048
  -18.951999664    7.926902294
  -18.931999207    8.313199997
  -18.912000656    8.798001289
  -18.892000198    9.338399887
  -18.871999741    9.882899284
  -18.851999283   10.372502327
  -18.832000732   10.751300812
  -18.812000275   10.975203514
  -18.791999817   11.014402390
  -18.771999359   10.863100052
  -18.752000809   10.532694817
  -18.732000351   10.058899879
  -18.711999893    9.485100746
  -18.691999435    8.862000465
  -18.672000885    8.234702110
  -18.652000427    7.642699242
  -18.631999969    7.108200073
  -18.611999512    6.640697956
  -18.591999054    6.239799976
  -18.572000504    5.894401073
  -18.552000046    5.593700886
  -18.531999588    5.327298641
  -18.511999130    5.089101315
  -18.492000580    4.883102894
  -18.472000122    4.715099335
  -18.451999664    4.595599174
  -18.431999207    4.536599159
  -18.412000656    4.546400070
  -18.392000198    4.632799625
  -18.371999741    4.794901371
  -18.351999283    5.026997089
  -18.332000732    5.318501949
  -18.312000275    5.652300358
  -18.291999817    6.007399559
  -18.271999359    6.358500004
  -18.252000809    6.678098202
  -18.232000351    6.943000317
  -18.211999893    7.129000187
  -18.191999435    7.218397617
  -18.172000885    7.201697350
  -18.152000427    7.073697567
  -18.131999969    6.843900204
  -18.111999512    6.526497364
  -18.091999054    6.141400337
  -18.072000504    5.718501568
  -18.052000046    5.284601688
  -18.031999588    4.866501808
  -18.011999130    4.486398697
  -17.992000580    4.156700611
  -17.972000122    3.885499954
  -17.951999664    3.669188023
  -17.931999207    3.503188848
  -17.912000656    3.381540060
  -17.892000198    3.299740791
  -17.871999741    3.264240265
  -17.851999283    3.288218021
  -17.832000732    3.395598888
  -17.812000275    3.618800402
  -17.791999817    3.992599010
  -17.771999359    4.552399635
  -17.752000809    5.323198318
  -17.732000351    6.313899994
  -17.711999893    7.516400814
  -17.691999435    8.891802788
  -17.672000885   10.383601189
  -17.652000427   11.913198471
  -17.631999969   13.392798424
  -17.611999512   14.735597610
  -17.591999054   15.870102882
  -17.572000504   16.746801376
  -17.552000046   17.348304749
  -17.531999588   17.682596207
  -17.511999130   17.789703369
  -17.492000580   17.721801758
  -17.472000122   17.543603897
  -17.451999664   17.316299438
  -17.431999207   17.094001770
  -17.412000656   16.914802551
  -17.392000198   16.800201416
  -17.371999741   16.753402710
  -17.351999283   16.767103195
  -17.332000732   16.815401077
  -17.312000275   16.869401932
