# E (eV)  pdos(E) 
  -25.431999207    0.002339087
  -25.412000656    0.005613007
  -25.392000198    0.012910103
  -25.371999741    0.028477862
  -25.351999283    0.060148664
  -25.332000732    0.121814974
  -25.312000275    0.236410007
  -25.291999817    0.439605534
  -25.271999359    0.784357846
  -25.252000809    1.340416670
  -25.232000351    2.197142601
  -25.211999893    3.452243567
  -25.191999435    5.200997353
  -25.172000885    7.516844749
  -25.152000427   10.407265663
  -25.131999969   13.823231697
  -25.111999512   17.615133286
  -25.091999054   21.529644012
  -25.072000504   25.246740341
  -25.052000046   28.366638184
  -25.031999588   30.596969604
  -25.011999130   31.655447006
  -24.992000580   31.450155258
  -24.972000122   29.947917938
  -24.951999664   27.380414963
  -24.931999207   24.010913849
  -24.912000656   20.220479965
  -24.892000198   16.339193344
  -24.871999741   12.666396141
  -24.851999283    9.426322937
  -24.832000732    6.732581139
  -24.812000275    4.615762234
  -24.791999817    3.037200212
  -24.771999359    1.918701053
  -24.752000809    1.162899852
  -24.732000351    0.676551461
  -24.711999893    0.377831668
  -24.691999435    0.202398285
  -24.672000885    0.104088679
  -24.652000427    0.051385231
  -24.631999969    0.024327623
  -24.611999512    0.011049758
  -24.591999054    0.004815402
  -24.572000504    0.002014066
  -24.552000046    0.000807965
  -24.531999588    0.000311060
  -24.511999130    0.000114882
  -24.492000580    0.000040648
  -24.472000122    0.000013849
  -24.451999664    0.000004626
  -24.431999207    0.000001860
  -24.412000656    0.000001906
  -24.392000198    0.000004745
  -24.371999741    0.000013804
  -24.351999283    0.000039341
  -24.332000732    0.000107566
  -24.312000275    0.000281615
  -24.291999817    0.000706001
  -24.271999359    0.001696492
  -24.252000809    0.003901784
  -24.232000351    0.008590808
  -24.211999893    0.018134039
  -24.191999435    0.036628809
  -24.172000885    0.070871681
  -24.152000427    0.131295711
  -24.131999969    0.233068958
  -24.111999512    0.396139830
  -24.091999054    0.644831121
  -24.072000504    1.005428910
  -24.052000046    1.499983191
  -24.031999588    2.146194458
  -24.011999130    2.939051151
  -23.992000580    3.855173349
  -23.972000122    4.841998577
  -23.951999664    5.821557045
  -23.931999207    6.707756519
  -23.912000656    7.402683258
  -23.892000198    7.817253113
  -23.871999741    7.914395332
