VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	VAR16
0.0000000000000000	-8.526771559000002e-1	0.0000000000000000	-1.476273088000000e-1	0.0000000000000000	-4.760966149999990e-2	0.0000000000000000	9.033096200000035e-3	0.0000000000000000	1.416463000000001e-2	0.0000000000000000	6.810576130000001e-2	0.0000000000000000	6.365966180000000e-1	0.0000000000000000	6.840818774000000e-1
9.999999139997195e-1	-8.617380859000002e-1	9.999999139997195e-1	-1.345628627000000e-1	9.999999139997195e-1	-5.070349300000010e-2	9.999999139997195e-1	7.659263200000099e-3	9.999999139997195e-1	1.147886700000011e-2	9.999999139997195e-1	6.178819789999990e-2	9.999999139997195e-1	6.255298485000001e-1	9.999999139997195e-1	6.727249948000000e-1
1.999999827999439e+0	-8.683094913000000e-1	1.999999827999439e+0	-1.279147249999999e-1	1.999999827999439e+0	-5.364617279999994e-2	1.999999827999439e+0	2.919716599999900e-3	1.999999827999439e+0	1.096174090000002e-2	1.999999827999439e+0	5.770375920000004e-2	1.999999827999439e+0	6.165195019000001e-1	1.999999827999439e+0	6.643013503000000e-1
2.999999741999158e+0	-8.714091185000002e-1	2.999999741999158e+0	-1.254279487000001e-1	2.999999741999158e+0	-5.642994629999998e-2	2.999999741999158e+0	-3.555093399999931e-3	2.999999741999158e+0	9.921067300000086e-3	2.999999741999158e+0	5.666387460000011e-2	2.999999741999158e+0	6.115052158000001e-1	2.999999741999158e+0	6.598513180000000e-1
3.999999655998878e+0	-8.706856590000000e-1	3.999999655998878e+0	-1.262355958999999e-1	3.999999655998878e+0	-5.987802469999992e-2	3.999999655998878e+0	-1.000255729999999e-2	3.999999655998878e+0	6.118605800000010e-3	3.999999655998878e+0	5.737255910000006e-2	3.999999655998878e+0	6.117958731000001e-1	3.999999655998878e+0	6.594560656000000e-1
4.999999570001016e+0	-8.662618571999998e-1	4.999999570001016e+0	-1.294835176000000e-1	4.999999570001016e+0	-6.397470789999993e-2	4.999999570001016e+0	-1.464186229999997e-2	4.999999570001016e+0	6.009892000000682e-4	4.999999570001016e+0	5.860612440000002e-2	4.999999570001016e+0	6.178025894000000e-1	4.999999570001016e+0	6.629199802000000e-1
5.999999484000735e+0	-8.591521563000002e-1	5.999999484000735e+0	-1.352294261000000e-1	5.999999484000735e+0	-6.918996700000002e-2	5.999999484000735e+0	-1.703081869999989e-2	5.999999484000735e+0	-5.997299699999958e-3	5.999999484000735e+0	5.844985740000008e-2	5.999999484000735e+0	6.282257880999999e-1	5.999999484000735e+0	6.694908959000000e-1
6.999999398000455e+0	-8.508303586999998e-1	6.999999398000455e+0	-1.444571534000001e-1	6.999999398000455e+0	-7.542505679999989e-2	6.999999398000455e+0	-1.793911569999995e-2	6.999999398000455e+0	-1.309981720000009e-2	6.999999398000455e+0	5.539338529999993e-2	6.999999398000455e+0	6.405479725999999e-1	6.999999398000455e+0	6.780972012000001e-1
7.999999312000174e+0	-8.419571233000000e-1	7.999999312000174e+0	-1.570681721000000e-1	7.999999312000174e+0	-8.033980870000002e-2	7.999999312000174e+0	-1.993556779999994e-2	7.999999312000174e+0	-1.596549269999992e-2	7.999999312000174e+0	5.008139470000006e-2	7.999999312000174e+0	6.529192712000000e-1	7.999999312000174e+0	6.883040531000000e-1
8.999999225999893e+0	-8.344693394999998e-1	8.999999225999893e+0	-1.749490602999999e-1	8.999999225999893e+0	-8.240899310000005e-2	8.999999225999893e+0	-2.351362839999993e-2	8.999999225999893e+0	-1.445710640000009e-2	8.999999225999893e+0	4.262416770000010e-2	8.999999225999893e+0	6.626114188000000e-1	8.999999225999893e+0	6.975195631000000e-1
9.999999139999614e+0	-8.292257548000002e-1	9.999999139999614e+0	-1.979201503999999e-1	9.999999139999614e+0	-8.088506989999989e-2	9.999999139999614e+0	-2.591452990000009e-2	9.999999139999614e+0	-1.294322360000000e-2	9.999999139999614e+0	3.307944389999995e-2	9.999999139999614e+0	6.688819089000000e-1	9.999999139999614e+0	7.037353611000000e-1
1.099999905399933e+1	-8.257466842000002e-1	1.099999905399933e+1	-2.218977113000000e-1	1.099999905399933e+1	-7.538048690000010e-2	1.099999905399933e+1	-2.696791070000004e-2	1.099999905399933e+1	-1.285868210000007e-2	1.099999905399933e+1	2.224931969999999e-2	1.099999905399933e+1	6.727688846000001e-1	1.099999905399933e+1	7.069017888000000e-1
